sample_id,reads,flow_id,date,longitude,latitude,fire,ammonium,clay,conductivity,elev,exc_aluminium,exc_calcium,exc_magnesium,exc_potassium,exc_sodium,nitrate,organic_carbon,ph,phosphorus_colwell,potassium_colwell,sand,silt,sulphur,texture,vegetation_type,woody_veg_cover
s15965,148229,AGEDA,2014-10-17,147.45611,-42.54522,,9,7.91,0.031,NA,1.17,0.89,0.71,0.22,0.08,0.5,2.25,3.5,8,104,90.08,2,2.8,1.5,,53
s15967,140838,AGEDA,2014-10-17,147.4391,-42.80744,,3,14.28,0.061,NA,0.024,8.05,1.95,0.23,0.18,3,2.73,5.4,26,95,69.29,16.44,3.7,2,,17.999999999999993
s15969,137452,AGEDA,2014-10-24,147.04742,-42.38784,,4,5.8,0.03,NA,1.222,0.87,0.57,0.27,0.06,0.5,2.3,3.3,6,108,84.36,9.84,1.7,1.5,,32.00000000000001
s15971,136344,AGEDA,2014-10-24,147.0791,-42.3985,,8,21.47,0.052,NA,0.394,8.69,2.24,0.36,0.21,5,4.43,4.4,35,159,47.78,30.75,6.5,1.5,,1.0000000000000009
s15973,171265,AGEDA,2014-10-24,147.07991,-42.39835,,6,16.26,0.035,NA,1.007,5.37,1.19,0.48,0.11,4,3.35,4.1,37,199,69.43,14.31,4.5,2,,1.0000000000000009
s15975,129934,AGEDA,2014-11-04,146.89476,-42.27335,,3,8.03,0.052,NA,1.155,2.68,0.84,0.3,0.05,20,2.65,4.2,47,141,85.87,6.1,3.1,1.5,,10.000000000000009
s15977,145038,AGEDA,2014-11-04,146.8927,-42.27154,,18,6,0.045,NA,1.15,0.92,0.93,0.35,0.07,0.5,3.47,3.1,12,138,85.87,8.13,3,1.5,,19.999999999999996
s15979,143588,AGEDA,2014-11-04,146.89643,-42.27031,,1,7.53,0.068,NA,0.037,5.99,1.3,0.39,0.05,26,1.86,5.1,45,211,86.74,5.72,3.2,1.5,,12.00000000000001
s15981,134032,AGEDA,2014-11-07,147.20049,-42.55598,,9,25.03,0.054,NA,0.021,24.09,6.61,0.64,0.41,14,4.9,5.1,17,304,51.94,23.04,5.7,2,,38.000000000000014
s15983,166853,AGEDA,2014-11-07,147.20646,-42.55907,,2,31.79,0.064,NA,0.017,14.58,5.65,0.25,0.34,17,2.98,5.5,21,130,42.3,25.91,4.4,1.5,,17.999999999999993
s15985,132624,AGEDA,2014-11-13,147.01602,-42.38684,,11,25.3,0.044,NA,0.175,4.25,2.83,0.32,0.24,5,1.78,4.5,7,123,64.55,10.14,4.8,2,,4.0000000000000036
s15987,129684,AGEDA,2014-11-13,147.01964,-42.40184,,3,12.12,0.023,NA,1.973,0.72,0.58,0.28,0.1,0.5,2.67,4,12,110,87.88,1e-10,2,1.5,,36.00000000000001
s15989,219785,AGEDA,2014-11-13,147.01244,-42.40319,,8,16.12,0.059,NA,0.288,6.12,1.51,0.24,0.17,11,2.83,4.4,36,95,75.8,8.08,6.9,1.5,,2.0000000000000018
s15991,87335,AGEDA,2014-11-13,146.69943,-42.42688,,5,5.01,0.029,NA,0.74,0.87,0.72,0.26,0.1,0.5,2.81,3.3,5,101,93.97,1.01,2.2,1.5,,10.000000000000009
s15993,216653,AGEFG,2014-11-13,146.84942,-42.54652,,4,20.85,0.075,NA,0.118,1.88,4.82,0.47,0.64,0.5,1.72,4.7,7,230,66.22,12.94,3.5,2,,5.000000000000004
s15995,207153,AGEFG,2014-11-13,146.84851,-42.54686,,4,18.52,0.09,NA,0.026,5.81,2.21,0.33,0.37,7,2.05,5.2,21,188,62.9,18.58,7.9,1.5,,5.000000000000004
s15997,169728,AGEFG,2014-11-13,146.77292,-42.57264,,2,2.99,0.02,NA,1.051,0.68,0.4,0.15,0.05,0.5,1.2,3.7,9,75,92.95,4.06,1.6,1.5,,32.00000000000001
s15999,88912,AGEFG,2014-11-13,146.77098,-42.5705,,4,5.12,0.018,NA,0.254,1.46,0.36,0.08,0.06,0.5,1.27,4.2,6,31,89.7,5.18,2.4,1.5,,12.00000000000001
s16001,134378,AGEFG,2014-11-21,147.31891,-41.77754,,6,9.36,0.036,NA,0.729,2.74,0.8,0.15,0.09,0.5,2.74,4.3,3,59,82.27,8.37,3.8,1.5,,49
s16003,117177,AGEFG,2014-11-21,147.17126,-41.75804,,13,15.79,0.111,NA,0.46,4.64,1.62,0.75,0.26,15,3.3,4.2,24,294,51.53,32.67,11,2,,13.00000000000001
s16005,166602,AGEFG,2014-11-21,147.1716,-41.75815,,10,13.89,0.125,NA,0.02,6.57,1.77,1.15,0.19,27,2.34,5.3,174,448,59.29,26.82,9.2,2,,13.00000000000001
s16007,142538,AGEFG,2014-11-21,147.46838,-42.27962,,8,4.97,0.03,NA,0.36,1.36,0.36,0.23,0.03,1,1.36,4.1,24,97,89.01,6.02,4.8,1.5,,6.000000000000005
s16009,141100,AGEFG,2014-11-21,147.46603,-42.27659,,12,6.94,0.043,NA,0.274,2.5,0.61,0.37,0.1,5,2.26,4.3,19,173,87.07,5.99,4.5,1.5,,20.999999999999996
s16011,210673,AGEFG,2014-11-28,147.61381,-42.27943,,16,28.17,0.042,NA,0.351,7.86,5.02,0.3,0.41,0.5,4.41,4.5,34,118,55.68,16.15,8.4,2,,2.0000000000000018
s16013,200014,AGEFG,2014-11-28,147.49095,-42.0154,,33,16.3,0.07,NA,0.133,6.05,1.98,0.94,0.18,6,2.98,4.6,22,366,70.41,13.29,15,1.5,,5.000000000000004
s19231,125396,AGECM,2014-12-08,138.130066,-35.640739,,3,30.89,0.248,66,0.031,26.16,3.71,1.77,0.77,30,3.8,7.1,9,658,48.45,20.66,15.3,2,Woodland,1.0000000000000009
s19233,117309,AGECM,2014-12-08,138.130077,-35.640126,,53,26.94,0.22,67,0.059,14.23,3.43,1.8,0.83,9,3.79,6,11,662,52.26,20.8,25.5,2,Woodland,1.0000000000000009
s19235,189702,AGECM,2014-12-08,138.129228,-35.640719,,14,30.17,0.154,60,0.03,21.38,3.12,1.57,0.74,6,3.58,7.2,8,564,51.66,18.16,12.8,2,Woodland,1.0000000000000009
s19237,153256,AGECM,2014-12-08,138.125403,-35.638699,,19,22.59,0.102,33,0.57,3.56,1.94,0.87,1.1,1e-10,3.87,4.2,10,456,58.84,18.57,16.5,2,Woodland,2.0000000000000018
s19239,133213,AGECM,2014-12-08,138.12579,-35.638681,,20,20.21,0.061,34,0.566,3.11,1.41,0.75,0.46,3,3.98,4.3,12,397,63.53,16.25,10,2,Woodland,2.0000000000000018
s19241,202046,AGECM,2014-12-08,138.126446,-35.638228,,19,20.24,0.076,41,0.196,3.7,1.81,0.76,0.49,3,3.27,4.5,11,403,61.44,18.31,8.7,2,Woodland,12.00000000000001
s19243,192418,AGECM,2014-12-08,138.12213,-35.637296,,10,31.57,0.051,39,0.071,9.16,2.91,1.43,0.58,3,3.1,5.2,6,559,60.51,7.92,6.6,2,Woodland,10.000000000000009
s19245,134976,AGECM,2014-12-08,138.122073,-35.637042,,11,30.26,0.082,41,0.047,8.16,2.8,1.58,0.74,4,2.84,5.4,7,571,59.61,10.12,9.8,2,Woodland,10.000000000000009
s19247,152209,AGECM,2014-12-08,138.121902,-35.636263,,15,35.21,0.138,46,0.034,15.05,4.05,1.88,0.86,5,3.8,5.6,8,626,47.13,17.66,12.3,2,Woodland,10.000000000000009
s19249,202781,AGECM,2014-12-08,138.119816,-35.634699,,8,30.17,0.166,46,0.024,23.77,3.56,2.35,0.49,5,3.85,7,8,767,53.68,16.15,13.8,2,Woodland,10.000000000000009
s19251,228235,AGECM,2014-12-08,138.120165,-35.634824,,9,36.08,0.21,49,0.044,17.07,3.46,2.69,0.85,5,3.48,6.3,8,903,47.84,16.08,14.1,2,Woodland,10.000000000000009
s19253,177759,AGECM,2014-12-08,138.120194,-35.634627,,8,33.51,0.133,50,0.019,22.89,3.15,2.54,0.46,4,3.56,7,7,1066,46.71,19.77,12.9,2,Woodland,10.000000000000009
s19255,141566,AGECM,2014-12-10,138.1189822,-35.6351653,,3,31.63,0.353,41,0.041,21.51,3.08,2.22,0.57,109,3.21,7,12,750,50.52,17.85,16.5,2,Woodland,10.000000000000009
s19257,341524,AGECM,2014-12-10,138.11882,-35.634765,,2,29.13,0.185,37,0.036,25.85,2.62,1.94,0.35,39,3.81,7.3,9,644,47.49,23.38,11,2,Woodland,10.000000000000009
s19259,243971,AGECM,2014-12-10,138.118409,-35.635152,,1e-10,24.38,0.167,31,0.016,18.37,2.92,1.82,0.59,28,2.76,7.2,6,629,61.35,14.28,10,2,Woodland,3.0000000000000027
s19261,315352,AGECM,2014-12-10,138.120746,-35.635559,,1e-10,32.85,0.11,47,0.046,14.82,2.63,2.06,0.35,55,3.01,6,6,681,52.73,14.42,7.9,2,Woodland,10.000000000000009
s19263,146639,AGECM,2014-12-10,138.120931,-35.635311,,1,36.65,0.151,50,0.031,16.94,2.89,2.58,0.5,60,3.14,6.2,6,925,49.06,14.29,10.4,2,Woodland,10.000000000000009
s19265,440059,AGECM,2014-12-10,138.120584,-35.636366,,1e-10,24.57,0.17,38,0.028,22.57,2.26,1.55,0.38,52,3.14,7.2,10,594,56.45,18.98,11.7,5,Woodland,10.000000000000009
s19267,229468,AGECM,2014-12-10,138.116732,-35.631434,,1e-10,17.46,0.1,23,0.121,3.91,0.95,1.1,0.36,36,1.59,4.8,6,552,70.83,11.71,5.8,2,Woodland,4.0000000000000036
s19269,362582,AGECM,2014-12-10,138.1164129,-35.632738,,2,17.43,0.174,20,0.115,3.82,1.43,0.8,0.8,34,1.25,4.9,6,396,66.99,15.58,14.8,2,Woodland,4.0000000000000036
s19271,219946,AGECM,2014-12-10,138.116249,-35.630431,,4,17.66,0.167,21,0.334,2.65,1.06,0.83,0.36,86,1.73,4.4,8,397,70.5,11.84,8.5,5,Woodland,4.0000000000000036
s19273,182344,AGECM,2014-12-12,138.162344,-35.654969,,6,24.04,0.157,120,0.18,6.93,3.79,0.8,1.23,140,3.7,4.5,10,482,54.01,21.95,22,2,Woodland,32.00000000000001
s19275,316922,AGECM,2014-12-12,138.162904,-35.655037,,1e-10,21.35,0.11,125,0.054,8.48,3.85,0.67,0.74,60,3.5,4.8,7,420,59.33,19.31,11.1,2,Woodland,32.00000000000001
s19277,333298,AGECM,2014-12-12,138.162765,-35.655538,,1e-10,19.53,0.12,118,0.086,8.54,2.91,0.65,0.56,106,3.6,4.8,9,401,63.01,17.46,10.5,2,Woodland,32.00000000000001
s19279,120407,AGECM,2014-12-12,138.16255,-35.655371,,24,26.67,0.193,119,0.139,10.01,5.2,0.8,1.22,68,4.4,4.6,10,450,53.24,20.09,19,2,Woodland,32.00000000000001
s19281,206845,AGECM,2014-12-17,138.654574,-35.091696,,11,16.47,0.06,334,0.176,3.85,1.03,0.42,0.14,9,2.93,4.6,10,244,77.32,6.21,5.2,2,Woodland,30.000000000000004
s19283,232416,AGECM,2014-12-17,138.65477,-35.090961,,12,14.34,0.105,336,0.276,3.68,1.04,0.34,0.28,6,3.27,4.5,12,183,75.35,10.31,4.2,2,Woodland,30.000000000000004
s19285,276580,AGECM,2014-12-17,138.6549204,-35.0906934,,8,16.35,0.062,337,0.287,3.65,1.01,0.35,0.18,8,2.73,4.5,12,179,75.42,8.23,5.3,2,Woodland,30.000000000000004
s19287,193870,AGECM,2014-12-17,138.658856,-35.085397,,7,14.16,0.111,349,0.256,4.16,1.27,0.57,0.25,14,3.12,4.6,19,266,75.65,10.19,5.5,2,Woodland,23
s19289,347441,AGECM,2014-12-17,138.659129,-35.085429,,5,12.19,0.075,349,0.182,4,1.17,0.39,0.17,14,2.77,4.7,29,201,79.61,8.2,5.1,2,Woodland,40.99999999999999
s19291,182706,AGECM,2014-12-17,138.659439,-35.085733,,8,14.77,0.077,348,0.269,4.49,1.14,0.46,0.13,20,3.57,4.5,14,259,76.73,8.5,5.1,2,Woodland,40.99999999999999
s19293,243811,AGECM,2014-12-17,138.671064,-35.09727,,8,18.69,0.058,261,0.701,3.71,1.88,0.5,0.17,4,4.4,4.1,13,386,47.89,33.42,6.5,2,Woodland,18.999999999999993
s19295,135453,AGECM,2014-12-17,138.67071,-35.097408,,10,20.55,0.037,269,0.615,3.91,1.5,0.52,0.14,3,3.78,4.2,10,371,48.48,30.98,5.5,2,Woodland,18.999999999999993
s19297,245562,AGECM,2014-12-17,138.670996,-35.09698,,3,19.41,0.025,261,0.726,3.52,1.18,0.51,0.12,2,4.27,4.1,10,385,51.32,29.27,4.7,2,Woodland,18.999999999999993
s19299,185418,AGECM,2014-12-17,138.677674,-35.098208,,6,19.42,0.068,272,0.147,8.9,2.57,0.78,0.25,9,4.7,4.5,16,566,54.53,26.04,6.3,2,Woodland,31.000000000000007
s19301,187989,AGECM,2014-12-17,138.677728,-35.097955,,6,24.59,0.044,270,0.164,9.14,3.46,0.75,0.32,12,5,4.6,18,606,46.6,28.81,6.4,2,Woodland,31.000000000000007
s19303,188773,AGECM,2014-12-17,138.677626,-35.097955,,9,26.77,0.056,266,0.262,8.11,2.36,0.63,0.21,1,4.9,4.5,14,473,42.22,31.01,8.4,2,Woodland,31.000000000000007
s19305,304360,AGECM,2014-12-17,138.684416,-35.102971,,15,18.62,0.049,270,0.327,5.16,1.43,0.38,0.13,1e-10,4.25,4.5,12,227,54.34,27.04,5.1,2,Woodland,28.000000000000004
s19307,192145,AGECM,2014-12-17,138.684929,-35.103062,,14,13.98,0.025,273,0.119,4.5,1.08,0.31,0.12,1,2.27,4.8,7,197,63.88,22.13,4.2,2,Woodland,38.000000000000014
s19309,190716,AGECM,2014-12-17,138.685117,-35.103011,,9,11.72,0.02,276,0.276,3.07,0.87,0.29,0.07,1,2.57,4.5,6,177,74.48,13.79,3.5,2,Woodland,28.000000000000004
s19311,153737,AGECM,2014-12-17,138.676234,-35.091744,,14,19.51,0.045,252,0.021,15.93,5.9,0.8,0.35,1,4.7,5.5,15,504,43.23,37.25,3.8,2,Woodland,43.99999999999999
s19313,250607,AGECM,2014-12-17,138.676184,-35.091563,,16,22.07,0.04,254,0.091,7.05,3.08,0.61,0.24,1e-10,4.18,5,10,399,41.66,36.27,6.5,2,Woodland,43.99999999999999
s19315,167327,AGECM,2014-12-17,138.67605,-35.091272,,7,25.9,0.025,257,0.784,3.38,1.83,0.42,0.19,2,3.93,4.2,8,271,48.1,26,6.3,2,Woodland,43.99999999999999
s19317,178050,AGECM,2014-12-17,138.650709,-35.102142,,4,23.39,0.058,261,0.031,9.39,3.32,0.77,0.24,3,3.4,5.4,8,466,39.43,37.18,5.1,2,Woodland,38.000000000000014
s19319,162062,AGECM,2014-12-17,138.650715,-35.101944,,8,21.83,0.086,262,0.038,9.33,3.91,0.57,0.38,2,3.83,5.3,8,363,36.29,41.87,6.6,2,Woodland,38.000000000000014
s19321,195467,AGECM,2014-12-17,138.650319,-35.101999,,7,26,0.095,255,0.105,6.91,3.73,0.56,0.34,4,4,4.8,8,393,31.83,42.17,8.9,2,Woodland,38.000000000000014
s19323,120907,AGECM,2014-12-18,138.658608,-35.081399,,6,20.05,0.059,325,0.262,6.62,3.89,0.47,0.44,4,4.1,4.4,8,348,41.66,38.29,6,2,Woodland,43.99999999999999
s19325,154501,AGEFG,2014-12-18,138.658225,-35.081391000000004,,17,23.62,0.162,321,0.095,15.66,7.4,0.97,0.67,22,4,4.6,17,568,42.79,33.6,12,5,Woodland,43.99999999999999
s19327,90281,AGEDA,2014-12-18,138.657617,-35.081551,,8,19.75,0.076,317,0.305,11.06,4.7,0.52,0.44,2,4.2,4.3,12,315,60.4,19.85,5.4,2,Woodland,43.99999999999999
s19329,147413,AGEDA,2014-12-18,138.657191,-35.081479,,4,14.37,0.18,311,0.17,12.87,5.07,0.51,0.58,209,4.1,4.3,12,274,66.3,19.32,11.6,2,Woodland,43.99999999999999
s19453,124969,AGEFG,2015-02-18,150.73733,-33.60963,,5,7.7,0.02,21,0.168,0.93,0.26,0.15,0.02,4,0.78,4.7,9,58,82.55,9.75,2.3,2,Grassland,2.0000000000000018
s19455,127694,AGEFG,2015-02-18,150.73693,-33.61008,,9,7.61,0.015,24,0.2,0.51,0.19,0.13,0.01,4,0.77,4.6,9,55,84.67,7.71,3.2,1.5,Grassland,2.0000000000000018
s19457,202893,AGEFG,2015-02-18,150.73895,-33.6123,,11,5.72,0.032,29,0.035,1.46,0.44,0.22,0.01,10,0.94,5.4,9,95,88.46,5.82,3.7,1.5,Grassland,2.0000000000000018
s19459,253833,AGEFG,2015-02-18,150.73795,-33.61292,,8,5.97,0.011,31,0.193,0.5,0.18,0.12,0.02,1e-10,0.77,4.6,8,46,85.94,8.09,2.6,1.5,Grassland,2.0000000000000018
s19461,203461,AGEFG,2015-02-18,150.73769,-33.6126,,6,5.76,0.018,31,0.08,0.8,0.24,0.13,1e-10,1e-10,0.79,5.1,17,53,88.38,5.86,2.8,1.5,Grassland,2.0000000000000018
s19463,285678,AGEFG,2015-02-18,150.73618,-33.61565,,16,19.55,0.034,29,1.358,1.06,0.2,0.27,0.03,17,2.44,4.3,16,110,54.91,25.54,7.1,2,Grassland,21.999999999999996
s19465,233278,AGEFG,2015-02-18,150.736,-33.61623,,23,25.96,0.034,27,1.149,1.54,0.39,0.25,0.05,15,2.72,4.5,13,96,45.97,28.07,7.7,2,Grassland,24
s19467,193123,AGEFG,2015-02-18,150.73612,-33.61745,,37,24.97,0.065,27,1.423,2.55,0.81,0.45,0.06,23,3.4,4.4,22,176,43.68,31.35,11.8,2,Grassland,21.999999999999996
s19469,162743,AGEFG,2015-02-18,150.73385,-33.62103,,14,46.96,0.11,31,1.122,2.87,1.9,1.27,0.26,22,4.32,4.6,10,494,26.45,26.6,16.2,2,Marsh/bog,44.99999999999999
s19471,249814,AGEFG,2015-02-18,150.73375,-33.62067,,77,44.04,0.224,31,1.427,4.02,1.95,1.66,0.48,47,5.95,4.5,16,646,26.54,29.43,32.3,2,Marsh/bog,44.99999999999999
s19473,252940,AGEFG,2015-02-18,150.73423,-33.62075,,87,49.49,0.161,34,1.834,3.62,1.9,1.27,0.33,39,5.59,4.4,12,494,24.64,25.88,28.2,2,Marsh/bog,44.99999999999999
s19475,189784,AGEFG,2015-02-18,150.7354,-33.6213,,9,9.93,0.025,33,0.043,2.89,0.52,0.18,0.03,15,1.28,4.9,5,70,78.02,12.04,3.9,2,Woodland,44.99999999999999
s19477,116558,AGEFG,2015-02-18,150.73577,-33.62083,,5,7.83,0.032,35,0.049,1.77,0.51,0.24,0.04,7,1.02,4.9,4,92,80.28,11.89,2.9,2,Woodland,44.99999999999999
s19479,216425,AGEFG,2015-02-19,150.72268,-33.61517,,5,20.62,0.036,28,1.186,1.22,2.09,0.23,0.4,1e-10,2.91,4.2,4,110,52.43,26.94,5.4,2,Woodland,57.00000000000001
s19481,191971,AGEFG,2015-02-19,150.72482,-33.61583,,11,13.84,0.052,32,1.048,1.12,1.32,0.29,0.44,5,3.18,4.1,7,129,58.27,27.89,7,2,Woodland,57.00000000000001
s19483,277637,AGEFG,2015-02-19,150.72493,-33.61353,,17,22.15,0.023,37,0.84,1.32,0.82,0.27,0.12,8,3.76,4.1,7,104,35.36,42.49,6.6,2,Woodland,54
s19485,166371,AGEFG,2015-02-19,150.72975,-33.61285,,7,5.84,0.023,35,0.251,0.51,0.15,0.1,0.04,3,0.83,4.3,22,39,84.27,9.89,3.8,2,Grassland,9.000000000000007
s19487,312990,AGEFG,2015-02-23,150.7304,-33.60465,,5,9.85,0.024,38,0.235,1.36,0.4,0.32,0.02,10,1.31,4.4,57,133,82.2,7.96,4.9,2,Grassland,0
s19489,288413,AGEFG,2015-02-23,150.7298,-33.60518,,6,7.76,0.029,40,0.165,1.3,0.31,0.24,0.04,10,1.02,4.6,25,107,74.57,17.67,4.4,2,Grassland,0
s19491,262493,AGEFG,2015-02-23,150.73035,-33.60617,,10,9.64,0.034,42,0.156,1.31,0.27,0.24,0.01,8,0.93,4.6,45,106,84.52,5.84,2.9,2,Grassland,0
s19493,243508,AGEFG,2015-02-23,150.73138,-33.60942,,4,5.79,0.018,40,0.086,0.53,0.2,0.16,1e-10,5,0.54,4.6,22,70,92.24,1.96,2.1,1.5,Grassland,0
s19495,201119,AGEFG,2015-02-23,150.7324,-33.60955,,7,4.11,0.048,40,0.127,0.89,0.2,0.16,1e-10,18,0.78,4.4,28,62,93.79,2.11,2.6,1,Grassland,0
s19497,304515,AGEFG,2015-02-23,150.7254,-33.60897,,2,2.01,0.019,40,0.184,0.36,0.09,0.09,1e-10,3,0.41,5.3,19,42,95.88,2.11,1.1,1,Grassland,26
s19499,259995,AGEFG,2015-02-23,150.7284,-33.6113,,15,5.97,0.04,38,0.195,0.9,0.29,0.23,0.03,6,1.14,4.7,12,91,87.95,6.08,5.3,1,Grassland,9.000000000000007
s19501,136079,AGEFG,2015-02-23,150.72577,-33.61158,,7,4.05,0.025,36,0.486,0.66,0.21,0.12,0.02,4,1.35,4.4,4,51,85.58,10.37,3.8,1.5,Woodland,54
s19503,208343,AGEFG,2015-02-23,150.72258,-33.60885,,12,6.24,0.026,31,0.339,0.68,0.58,0.15,0.12,4,1.81,4.6,5,72,59.94,33.83,4,2,Woodland,26
s19505,213077,AGEFG,2015-02-23,150.72878,-33.6145,,11,3.93,0.045,38,0.283,1.12,0.43,0.21,0.03,8,1.2,4.4,5,87,85.99,10.08,3.9,1.5,Woodland,54
s19507,257576,AGEFG,2015-02-25,150.71983,-33.61007,,11,16.47,0.071,29,0.053,19.27,3.32,0.48,0.18,17,4.66,5.1,12,225,50.39,33.14,6.8,2,Woodland,56.00000000000001
s19509,166776,AGEFG,2015-02-25,150.72043,-33.61072,,18,24.09,0.061,32,1.135,1.51,0.95,0.61,0.1,9,3.7,4,12,244,43.65,32.26,10,2,Woodland,56.00000000000001
s19511,245328,AGEFG,2015-02-25,150.72095,-33.61255,,6,8.12,0.03,38,0.339,0.61,0.33,0.14,0.05,1,1.22,4.4,3,62,87.77,4.11,4.8,1.5,Woodland,56.00000000000001
s19513,155803,AGEFG,2015-02-25,150.72,-33.61103,,30,31.49,0.227,28,0.519,11.69,3.41,0.57,0.7,59,5.9,4.2,26,222,27.17,41.34,39.3,1.5,Marsh/bog,56.00000000000001
s19515,213341,AGEFG,2015-02-25,150.72173,-33.61572,,8,12.43,0.053,26,0.977,0.6,0.79,0.23,0.26,1e-10,2.34,4.2,4,114,68.77,18.8,5,2,Woodland,54
s19517,108494,AGEFG,2015-02-25,150.73283,-33.61737,,20,14.61,0.042,33,0.171,2.37,0.88,0.26,0.13,1e-10,3.02,4.6,8,103,60.17,25.22,6.2,2,Woodland,24
s19553,192033,B3C4H,2015-11-25,146.6440339,-43.09177664,,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,88.00000000000001
s19555,195675,B3C4H,2015-11-25,146.6442606,-43.08869766,,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,88.00000000000001
s19557,194329,B3C4H,2013-12-06,146.6542886,-43.09507123,,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,74
s19559,163381,B3C4H,2015-11-25,146.8072247,-43.16770086,,NA,NA,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,87.00000000000001
s19561,156189,B3C4H,2015-11-25,146.6831746,-43.09763684,,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,37.000000000000014
s19563,145585,B3C4H,2015-11-25,146.7088927,-43.21444386,,NA,NA,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,58.00000000000001
s19565,157251,B3C4H,2015-11-25,146.7409397,-43.04549934,,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,54
s19567,182721,B3C4H,2015-11-25,146.7472972,-43.10285718,,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,69
s19569,177931,B3C4H,2015-11-25,146.8372982,-43.10942304,,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,73
s19577,75862,B39FT,2015-11-11,151.1349573,-33.6733605,,9,8.99,0.033,NA,1.182,0.65,0.27,0.06,0.09,1e-10,1.13,4.5,2,23,88,3.01,5,1.5,,34.00000000000001
s19579,72723,B39FT,2015-11-12,150.6259495,-33.59466727,,11,11.08,0.036,NA,2.124,0.12,0.18,0.12,0.09,1e-10,1.56,4,3,45,82.85,6.07,7.1,1,,72
s19581,90913,B39FT,2015-11-13,150.5658457,-33.52670176,,3,20.25,0.022,NA,2.898,0.21,0.21,0.12,0.06,1e-10,2.33,3.8,1e-10,48,71.62,8.12,7.6,3,,55.00000000000001
s19583,92251,B39FT,2015-11-15,150.4564183,-33.70503742,,5,7.01,0.042,NA,2.328,0.47,0.32,0.07,0.06,1e-10,2.95,3.5,3,27,88.96,4.03,6.8,1,,65.00000000000001
s19585,109118,B39FT,2015-11-16,150.319166,-33.64796144,,6,13.4,0.026,NA,1.655,0.21,0.12,0.07,0.08,1e-10,2.23,4.1,1e-10,28,77.29,9.31,6.8,3,,64.00000000000001
s19587,60240,B39FT,2015-11-19,150.251209,-33.31107767,,18,14.09,0.046,NA,4.474,0.26,0.22,0.11,0.06,1e-10,3.3,3.8,5,44,77.83,8.08,9.7,1,,49
s19589,52671,B39FT,2015-11-19,150.1397234,-33.32938057,,13,19.06,0.037,NA,3.384,0.46,0.28,0.19,0.04,1e-10,2.71,4,3,73,69.88,11.06,7.1,1.5,,65.00000000000001
s19591,76443,B39FT,2015-11-20,150.0272657,-33.22036813,,16,19.79,0.051,NA,4.67,3.76,1.82,0.5,0.05,1e-10,4.3,3.3,9,194,53.43,26.78,9.5,3.5,,50
s19592,61944,B39FT,2015-11-21,150.364634,-33.57884446,,4,11.97,0.021,NA,1.519,0.42,0.22,0.07,0.02,1e-10,1.99,4.1,2,26,84.03,4.01,5.2,3,,52
s19594,82993,B39FT,2015-11-18,150.2281468,-33.08392283,,2,27.91,0.07,NA,0.124,8,7.24,0.92,0.2,3,2.53,4.9,4,406,57.6,14.5,10.8,3,,38.000000000000014
s19595,84232,B39FT,2016-06-02,132.2700811,-13.55727929,,5,10.98,0.012,NA,0.74,0.69,0.69,0.06,0.02,1e-10,1.28,4.6,3,22,87.02,2.01,1.5,1,,35.00000000000001
s19597,102965,B39FT,2016-06-02,132.2943408,-13.5456078,,1e-10,5.86,0.016,NA,0.949,0.16,0.09,0.03,1e-10,1,1.05,4.4,4,0,92.17,1.97,1.6,1,,15.999999999999993
s19599,70510,B39FT,2016-06-03,132.4570571,-13.51697665,,3,5.08,0,NA,0.29,1.36,0.69,0.29,1e-10,1e-10,0.85,4.8,3,138,86.7,8.22,1.7,2,,18.999999999999993
s19601,125177,B3C4H,2016-10-01,121.013707,-28.065093,,2,6.88,0.01,NA,0.513,0.28,0.1,0.13,1e-10,2,0.27,4,3,56,91.14,1.98,3.8,1.5,,9.000000000000007
s19603,187645,B3C4H,2016-10-01,120.966131,-28.143134,,2,5.83,0.012,NA,0.273,0.68,0.14,0.15,0.01,4,0.23,4.7,1e-10,59,93.19,0.98,2.6,2,,1.0000000000000009
s19605,44413,B3C4H,2016-10-03,120.257423,-30.68535,,1,8.82,0,NA,0.167,0.91,0.15,0.09,1e-10,1e-10,0.37,5.2,1e-10,36,89.22,1.97,1.6,1.5,,1.0000000000000009
s19607,147645,B3C4H,2016-10-03,120.314942,-30.788543,,1,5.9,0.01,NA,0.211,0.33,0.13,0.09,0.03,1e-10,0.33,4.6,1e-10,33,93.11,0.99,3.2,2.5,,0
