sample_id,reads,flow_id,date,longitude,latitude,fire,ammonium,clay,conductivity,elev,exc_aluminium,exc_calcium,exc_magnesium,exc_potassium,exc_sodium,nitrate,organic_carbon,ph,phosphorus_colwell,potassium_colwell,sand,silt,sulphur,texture,vegetation_type,woody_veg_cover
s12491,172058,AC9CM,2014-05-12,149.0076,-35.881,,6,26.4,0.054,1093,0.07,11.46,3.87,0.49,0.04,7,4.07,5.2,24,230,47.16,26.45,5.8,2.5,Grassland,34.00000000000001
s12493,164863,AC9CM,2014-05-12,149.0083,-35.881100000000004,,5,12.23,0.036,1111,0.089,7.7,1.84,0.45,0.02,1,2.62,5.3,26,220,61.17,26.61,3.2,2.5,Woodland,34.00000000000001
s12495,189747,AC9CM,2014-05-12,149.0097,-35.8766833,,8,43.02,0.101,1092,0.154,11,10.68,0.66,0.55,2,5.35,5.1,26,258,29.74,27.24,15,3.5,Grassland,16.999999999999993
s12497,111671,AC9CM,2014-05-13,149.01025,-35.8769333,,6,13.08,0.038,1105,0.179,5.68,1.49,0.47,0.02,1e-10,2.42,5,27,207,61.66,25.26,3,3,Woodland,16.999999999999993
s12499,427534,AC9CM,2014-05-13,149.01088,-35.8748666,,12,35.85,0.091,1088,0.109,10.75,7.49,0.6,0.14,19,5.5,5.1,34,262,32.42,31.73,7.6,2.5,Grassland,16.999999999999993
s12501,175738,AC988,2014-04-29,149.596946,-30.20049501,,2,36.45,0.159,203.038132,0.077,20.23,7.79,2,0.45,35,1.31,6.6,106,851,31,32.55,32,3,Other,3.0000000000000027
s12503,164640,AC988,2014-04-29,149.59689,-30.20091302,,1,36.3,0.132,202.175568,0.119,23.66,9.58,2.3,0.54,15,1.48,6.9,91,855,31.89,31.81,30.7,3,Other,3.0000000000000027
s12505,193659,AC988,2014-04-29,149.596752,-30.20176998,,2,35.84,0.167,200.997772,0.068,19.34,9.61,1.39,0.51,14,1.14,6.9,57,525,32.15,32.01,35.2,3,Other,3.0000000000000027
s12507,18260,AC988,2014-04-29,149.596892,-30.20134804,,1e-10,35.61,0.121,199.68927,0.094,21.94,9.07,1.75,0.49,7,1.3,6.9,68,656,33.56,30.84,36.5,3,Other,3.0000000000000027
s12509,143356,AC988,2014-04-29,149.596931,-30.201197,,1e-10,33.61,0.113,201.056671,0.093,22.73,9.39,1.69,0.46,10,1.16,6.8,74,709,30.7,35.7,26.4,3,Other,3.0000000000000027
s12511,53565,AC988,2014-04-29,149.596977,-30.200924,,1e-10,36.64,0.164,199.9944,0.093,23.88,9.71,1.89,0.67,8,1.4,6.9,64,631,34.61,28.76,45.1,3,Other,3.0000000000000027
s12513,9425,AC988,2014-04-29,149.597007,-30.20182304,,1,39.66,0.1,195.764603,0.111,19,9.39,1.57,0.47,16,1.05,6.9,93,707,30.31,30.02,23.8,3,Other,3.0000000000000027
s12515,243408,AC988,2014-04-29,149.597039,-30.20151299,,1,32.19,0.173,197.325317,0.074,21.86,9.29,1.67,0.51,23,1.36,6.9,70,647,33.63,34.19,38.3,3,Other,3.0000000000000027
s12517,116049,AC988,2014-04-29,149.597005,-30.20168197,,2,40.88,0.171,197.638687,0.115,20.73,9.52,1.64,0.53,24,1.4,6.9,78,619,27.94,31.18,57,3.5,Other,3.0000000000000027
s12519,15345,AC988,2014-05-01,149.597266,-30.20054799,,1,36.7,0.124,198.658691,0.113,19.62,7.4,1.78,0.36,15,1.32,6.8,92,780,31.51,31.79,30.6,3,Other,3.0000000000000027
s12521,178235,AC988,2014-05-01,149.597249,-30.20066902,,2,32.06,0.15,199.710541,0.112,20.65,7.98,2.07,0.39,13,1.49,6.9,111,826,31.81,36.13,31.3,3,Other,3.0000000000000027
s12523,103364,AC9CM,2014-05-01,149.597209,-30.20092802,,2,35.97,0.124,200.791931,0.139,23.95,9.3,1.91,0.56,6,1.35,7,85,742,32.88,31.15,25.4,3,Other,3.0000000000000027
s12525,162648,AC9CM,2014-05-01,149.597239,-30.20171399,,1,36.58,0.122,202.054031,0.113,20.24,9.13,1.61,0.45,8,1.19,6.8,74,634,30.65,32.77,35,3,Other,3.0000000000000027
s12527,376557,AC9CM,2014-05-01,149.597294,-30.20141199,,1,37.41,0.148,201.253235,0.171,22.38,9.61,1.78,0.54,7,1.32,7,72,712,31.86,30.73,25.8,3,Other,3.0000000000000027
s12529,167779,AC9CM,2014-05-01,149.597383,-30.20098099,,2,46.11,0.202,203.584122,0.157,23.29,9.33,2.05,0.51,15,1.29,6.9,97,806,26.39,27.5,38,3,Other,3.0000000000000027
s12558,120345,B3C4H,2015-04-06,148.151667,-35.656611,,19,14.87,0.049,NA,3.848,2.83,1.15,0.77,0.08,1e-10,4.79,4.4,14,302,55.21,29.92,3.4,2,Forest,63.000000000000014
s12560,430372,AAVYC,2014-11-04,149.0076,-35.881,,6,26.23,0.057,1093,0.075,10.63,3.69,0.52,0.04,6,4.41,5,27,234,45.22,28.54,5.6,2,Grassland,34.00000000000001
s12562,389437,AAVYC,2014-11-04,149.0083,-35.881100000000004,,10,11.06,0.061,1111,0.073,8.9,2.17,0.62,0.03,1e-10,3.45,5.1,31,241,63.39,25.56,4.7,2,Woodland,34.00000000000001
