sample_id
102.100.100/12428
102.100.100/12430
102.100.100/12438
102.100.100/12614
102.100.100/12832
102.100.100/12834
102.100.100/12884
102.100.100/12903
102.100.100/138530
102.100.100/15825
102.100.100/15827
102.100.100/15829
102.100.100/15947
102.100.100/15949
102.100.100/15965
102.100.100/15981
102.100.100/15987
102.100.100/15997
102.100.100/16001
102.100.100/19475
102.100.100/19477
102.100.100/19481
102.100.100/19483
102.100.100/19501
102.100.100/19505
102.100.100/19507
102.100.100/19509
102.100.100/19511
102.100.100/19594
102.100.100/39198
102.100.100/39202
102.100.100/39204
102.100.100/39206
102.100.100/39208
102.100.100/39210
102.100.100/39221
102.100.100/39222
102.100.100/39224
102.100.100/39226
102.100.100/39228
102.100.100/39230
102.100.100/39238
102.100.100/39242
102.100.100/39244
102.100.100/39250
102.100.100/39254
102.100.100/39256
102.100.100/39260
102.100.100/39262
102.100.100/39264
102.100.100/39266
102.100.100/39270
102.100.100/39272
102.100.100/39274
102.100.100/39276
102.100.100/39282
102.100.100/39286
102.100.100/39290
102.100.100/39296
102.100.100/39300
102.100.100/39304
102.100.100/39306
102.100.100/39308
102.100.100/39310
102.100.100/39314
102.100.100/39316
102.100.100/39318
102.100.100/39322
102.100.100/39324
102.100.100/39326
102.100.100/39330
102.100.100/39333
102.100.100/39340
102.100.100/39342
102.100.100/39344
102.100.100/39346
102.100.100/39350
102.100.100/39352
102.100.100/39360
102.100.100/39362
102.100.100/39364
102.100.100/39366
102.100.100/39368
102.100.100/39370
102.100.100/401552
102.100.100/401556
102.100.100/401557
102.100.100/401558
102.100.100/401559
102.100.100/401560
102.100.100/401561
102.100.100/401562
102.100.100/401563
102.100.100/401565
102.100.100/401567
102.100.100/401568
102.100.100/401569
102.100.100/401570
102.100.100/401571
102.100.100/401572
102.100.100/401573
102.100.100/401574
102.100.100/401575
102.100.100/401576
102.100.100/401577
102.100.100/401579
102.100.100/401580
102.100.100/401581
102.100.100/401582
102.100.100/401583
102.100.100/401584
102.100.100/401585
102.100.100/401586
102.100.100/401589
102.100.100/401590
102.100.100/401591
102.100.100/401592
102.100.100/401593
102.100.100/401594
102.100.100/401595
102.100.100/401612
102.100.100/401614
102.100.100/401616
102.100.100/401618
102.100.100/401620
102.100.100/401622
102.100.100/401632
102.100.100/401634
102.100.100/401644
102.100.100/401646
102.100.100/401650
102.100.100/401652
102.100.100/401654
102.100.100/401656
102.100.100/401658
102.100.100/401660
102.100.100/62120
102.100.100/62128
102.100.100/62134
102.100.100/62150
102.100.100/62152
102.100.100/62154
102.100.100/62156
102.100.100/62158
102.100.100/62160
102.100.100/62162
102.100.100/62164
102.100.100/62166
102.100.100/62168
102.100.100/62170
102.100.100/62172
102.100.100/62174
102.100.100/7829
102.100.100/7831
102.100.100/7833
102.100.100/7839
102.100.100/7853
102.100.100/7855
102.100.100/7857
102.100.100/7863
102.100.100/8232
102.100.100/9450
102.100.100/9466
102.100.100/9571
102.100.100/9586
102.100.100/9588
102.100.100/401954
102.100.100/401956
102.100.100/401964
102.100.100/401972
102.100.100/401974
102.100.100/401978
102.100.100/401996
102.100.100/401998
102.100.100/402006
102.100.100/402112
102.100.100/402116
102.100.100/402118
102.100.100/402120
102.100.100/402122
102.100.100/402124
102.100.100/402150
102.100.100/402154
102.100.100/402156
