sample_id,reads,flow_id,date,longitude,latitude,fire,ammonium,clay,conductivity,elev,exc_aluminium,exc_calcium,exc_magnesium,exc_potassium,exc_sodium,nitrate,organic_carbon,ph,phosphorus_colwell,potassium_colwell,sand,silt,sulphur,texture,vegetation_type,woody_veg_cover,ecoregion,mineral_nitrogen
s62120,50228,BY245,2017-12-13,144.929637,-38.474406,,14,6.05,0.096,81,0.044,3.46,2.42,0.22,0.21,2,1.69,5.1,10,114,91.92,2.03,10,1,,50,South East Coastal Plain,16
s62128,28691,BY245,2017-12-11,144.323495,-37.673298,,34,15.35,0.292,267,1.048,4.1,2.1,0.54,0.35,2,2.44,3.8,27,274,69.26,15.4,47.9,2,,35.00000000000001,Victorian Midlands,36
s62134,61393,BY245,2017-12-08,144.345655,-37.577073,,7,23.49,0.08,501,2.233,0.51,0.95,0.2,0.26,1,1.83,4,8,129,47.85,28.66,12.1,3,,33.00000000000001,Victorian Midlands,8
s62150,34647,BY245,2017-11-22,145.649607,-37.801772,,51,29.29,0.185,120.5,3.685,3.71,1.47,0.4,0.11,10,3.9,3.7,25,207,45.51,25.2,39.8,2,,57.00000000000001,South Eastern Highlands,61
s62152,31430,BY245,2017-11-22,145.649331,-37.801552,,41,33.17,0.133,120.5,4.215,3.4,1.24,0.31,0.12,10,4.72,3.5,18,157,46.87,19.97,35.6,2,,57.00000000000001,South Eastern Highlands,51
s62154,29162,BY245,2017-11-22,145.649357,-37.801445,,63,25.28,0.259,120.5,3.164,4.67,1.74,0.35,0.14,12,4.49,3.4,29,169,51.45,23.27,69.5,2,,57.00000000000001,South Eastern Highlands,75
s62156,30150,BY245,2017-11-14,145.649147,-37.801373,,37,26.87,0.127,120.5,1.973,5.82,1.65,0.27,0.15,7,4.46,3.9,30,125,58.61,14.52,17.5,1.5,,57.00000000000001,South Eastern Highlands,44
s62158,28028,BY245,2017-11-13,145.648944,-37.801194,,49,22.67,0.208,120.5,2.216,5.58,1.83,0.41,0.21,8,3.94,3.8,44,208,62.84,14.49,77.3,1.5,,57.00000000000001,South Eastern Highlands,57
s62160,27150,BY245,2017-11-22,145.648936,-37.8012,,36,29.21,0.143,120.5,3.615,4.59,1.47,0.21,0.11,10,4.75,3.7,34,100,56.12,14.66,45.8,1.5,,57.00000000000001,South Eastern Highlands,46
s62162,49121,BY245,2017-11-14,145.648828,-37.800879,,44,30.87,0.115,120.5,0.554,8.87,1.39,0.26,0.08,8,4.51,4.5,99,111,56.74,12.39,21.4,2.5,,57.00000000000001,South Eastern Highlands,52
s62164,25097,BY245,2017-11-14,145.648857,-37.801186,,53,31.03,0.223,120.5,1.207,7.56,1.22,0.44,0.12,16,4.77,4.3,75,224,46.13,22.83,52,2.5,,57.00000000000001,South Eastern Highlands,69
s62166,27103,BY245,2017-11-13,145.648791,-37.801394,,32,30.9,0.17,120.5,0.689,9.6,1.76,0.32,0.08,10,4.19,4.5,96,165,52.56,16.54,26.2,2.5,,57.00000000000001,South Eastern Highlands,42
s62168,27061,BY245,2017-12-07,145.836581,-37.690526,,18,20.44,0.09,225,2.354,2.43,0.74,0.17,0.05,3,3.22,3.8,24,103,65.18,14.38,21.9,2.5,,73,South Eastern Highlands,21
s62170,22261,BY245,2017-11-15,145.837033,-37.690414,,31,22.8,0.155,215,1.886,2.78,1.21,0.13,0.1,1,3.5,3.9,29,120,64.71,12.49,35.2,1.5,,54,South Eastern Highlands,32
s62172,22965,BY245,2017-11-23,145.837101,-37.690387,,33,28.81,0.097,215,2.935,2.38,0.6,0.11,0.07,2,4.25,4.1,28,106,46.41,24.78,29.8,2,,54,South Eastern Highlands,35
s62174,29260,BY245,2017-11-15,145.836941,-37.690535,,45,30.97,0.201,215,2.64,4.29,0.74,0.08,0.05,1,4.6,3.9,39,80,48.32,20.71,71.4,2.5,,54,South Eastern Highlands,46
s7829,24786,A79NR,2012-07-30,150.7536825,-35.15368962,,7,5.76,0.03,62.4,0.158,0.77,0.49,0.09,0.09,15,0.98,3.6,1e-10,36,94.24,1e-10,2.9,1.5,Woodland,63.000000000000014,Sydney Basin,22
s7831,23121,A79NR,2012-07-30,150.7352711,-35.15304021,,6,3.88,0.023,96,0.162,0.86,0.35,0.08,0.05,18,0.83,3.9,1e-10,33,96.12,1e-10,1.8,1.5,Forest,84.00000000000001,Sydney Basin,24
s7833,26927,A79NR,2012-08-06,150.7075604,-35.13802306,,5,7.86,0.039,35,1.101,0.12,0.23,0.09,0.1,8,1.51,3.6,1e-10,40,90.15,1.99,4.8,1.5,Woodland,56.00000000000001,Sydney Basin,13
s7839,22931,A79NR,2012-08-17,150.6583748,-35.12804944,,6,8.14,0.046,5,0.636,3.73,1.53,0.18,0.13,3,2.55,3.9,7,89,91.86,1e-10,3.5,1.5,Forest,86.00000000000001,Sydney Basin,9
s7853,33410,A90G8,2012-10-25,150.6731254,-35.1630042,,4,2.92,0.106,6,0.023,3.96,0.6,0.06,0.25,6,0.16,7.7,11,24,97.08,1e-10,10.2,1.5,Shrubland,51,Sydney Basin,10
s7855,36590,A90G8,2012-10-25,150.6666743,-35.13674651,,5,5.91,0.021,21,0.28,1,0.51,0.09,0.08,2,1.07,3.7,1e-10,37,94.09,1e-10,2.4,1.5,Forest,51,Sydney Basin,7
s7857,45785,A90G8,2012-10-25,150.6326533,-35.16181402,,4,5.72,0.066,28,0.028,4.24,0.35,0.09,0.09,3,0.47,7.5,3,42,94.28,1e-10,3.7,1.5,Shrubland,61.00000000000001,Sydney Basin,7
s7863,44025,A90G8,2012-10-26,150.5937279,-35.17710152,,5,8.25,0.188,7,0.011,28.89,3.02,0.16,0.35,24,3.48,7.2,10,78,83.4,8.35,10.1,1.5,Marsh/bog,58.00000000000001,Sydney Basin,29
s8232,315067,A64HK,2013-04-16,151.629,-26.874389999999998,,4,63,0.123,339,0.045,12.75,8.34,0.42,1.02,13,0.94,7,29,194,6,20,3.9,3.5,Other,67,South Eastern Queensland,17
s9450,27362,A5P6W,2013-05-31,148.8271,-35.3941,,9,21.48,0.044,1115,4.051,1.56,0.56,0.54,0.04,10,4.53,4.1,16,210,50.83,27.69,4.5,1.5,Forest,50,South Eastern Highlands,19
s9466,272482,A64JJ,2013-07-09,148.9085,-35.59065,,8,12.42,0.07,966,0.057,12.91,1.46,0.5,0.03,1,4.03,5.6,27,237,72.98,14.61,6.8,2,Woodland,41.99999999999999,South Eastern Highlands,9
s9571,140522,A64HK,2013-01-09,145.881418,-41.555433,,85,31.74,0.092,820,5.572,1.45,1.3,0.6,0.22,3,5.51,3.4,68,486,42.74,25.52,25.4,2,Forest,65.00000000000001,Tasmanian Central Highlands,88
s9586,43496,A90G8,2013-01-18,148.029095,-41.183047,,3,20.56,0.019,690,1.743,0.19,0.6,0.24,0.03,1,0.89,4.1,2,126,64.24,15.19,1.6,2,Forest,77,Ben Lomond,4
s9588,37005,A90G8,2013-01-18,148.032013,-41.183515,,4,16.42,0.014,720,0.888,0.68,0.39,0.19,0.03,2,0.73,4.2,4,105,58.87,24.71,1.5,2,Forest,74,Ben Lomond,6
s401954,0,VicMicro,2_15_2022,146.2908244,-37.96905046,1939_BUSHFIRE,18,25.75,NA,344.86224,6.88,1.28,1.06,0.26,0.2,2,4.12,3.5,5,169,24.67,49.57,8.6,2.5,Forest,78,South Eastern Highlands,20
s401956,0,VicMicro,2_15_2022,146.4612762,-38.61050988,NA_NA,10,28.62,NA,211.6881,0.2,9.5,5.02,1,0.29,34,3.37,5.1,24,458,32.41,38.97,5,3,Forest,78,South Eastern Highlands,44
s401964,0,VicMicro,2_15_2022,146.2639099,-38.08056599,1939_BUSHFIRE,13,27.72,NA,156.15645,2.96,2.82,2.63,0.22,0.57,1,4.74,3.8,6,168,27.34,44.94,5.7,2.5,Forest,65.00000000000001,South Eastern Highlands,14
s401972,0,VicMicro,3_15_2022,141.5596558,-38.03423517,1939_BUSHFIRE,54,19.08,NA,101.5822,0.52,5.3,3.04,0.22,0.43,3,3.9,4.6,7,110,65.99,14.93,9.9,2.5,Forest,38.000000000000014,Southern Volcanic Plain,57
s401974,0,VicMicro,2_28_2022,147.217878,-37.55587319,1965_BUSHFIRE,21,23.92,NA,652.89966,1.62,12.32,3.92,0.66,0.11,18,5.03,4.5,10,330,49.86,26.22,5.7,2.5,Forest,54,South Eastern Highlands,39
s401978,0,VicMicro,2_15_2022,146.2933663,-37.97120853,2006_BUSHFIRE,8,21.61,NA,360.0015,5.18,0.6,0.72,0.2,0.25,1,4.68,4,2,137,26.81,51.57,6.5,3,Forest,51,South Eastern Highlands,9
s401996,0,VicMicro,3_3_2022,146.1810892,-36.30295522,2021_BURN,14,13.59,NA,349.79999,1.28,2.28,0.96,0.4,0.05,2,2.62,4.3,4,193,80.54,5.87,4.9,2.5,Forest,30.000000000000004,NSW South Western Slopes,16
s401998,0,VicMicro,3_28_2022,142.9992621,-36.83341895,NA_NA,6,18.54,NA,269.28943,3.1,2.82,1.32,0.44,0.24,1,4.61,3.6,NA,241,56.6,24.86,5,2.5,Forest,37.000000000000014,Victorian Midlands,7
s402006,0,VicMicro,2_22_2022,147.8768996,-36.27076227,2020_BUSHFIRE,4,13.72,NA,674.30463,0.01,8.67,0.83,0.3,0.02,1,1.63,5.7,48,175,74.42,11.85,1.7,2.5,Forest,44.99999999999999,NSW South Western Slopes,5
s402112,0,VicMicro,3_9_2022,148.9707493,-37.30413664,NA_NA,4,18.44,NA,1050.13159,0.47,1.48,1.71,0.4,0.37,8,1.18,4.4,4,185,63.07,18.49,3.6,3,Forest,83,South Eastern Highlands,12
s402116,0,VicMicro,2_16_2022,146.2159607,-38.57075565,NA_NA,28,43.82,NA,312.62912,4.72,3.39,2.28,0.6,0.18,34,4.51,4.1,3,315,21.04,35.15,5.7,3.5,Forest,81,South Eastern Highlands,62
s402118,0,VicMicro,3_17_2022,143.5203708,-38.59817095,1939_BUSHFIRE,56,26.92,NA,254.70691,1.3,13.7,4.4,0.72,0.37,15,4.66,4.5,21,338,46.05,27.03,8.9,3,Forest,80,South Eastern Highlands,71
s402120,0,VicMicro,3_17_2022,143.5731534,-38.61613613,1939_BUSHFIRE,47,41.29,NA,421.16641,3.81,1.83,1.62,0.37,0.26,8,4.24,3.7,5,280,30.22,28.48,5.7,2.5,Forest,70,South Eastern Highlands,55
s402122,0,VicMicro,3_17_2022,143.8606784,-38.51461611,1939_BUSHFIRE,80,30.54,NA,564.4527,1.3,9.66,4.24,0.7,0.32,3,4.5,4.7,19,425,38.79,30.66,5.8,3,Forest,80,South Eastern Highlands,83
s402124,0,VicMicro,2_17_2022,146.5620512,-38.38884779,2009_BUSHFIRE,38,36.6,NA,628.46417,0.38,10.8,4.73,0.95,0.28,8,4.01,4.8,18,526,28.96,34.42,3.6,2,Forest,81,South Eastern Highlands,46
s402150,0,VicMicro,2_17_2022,146.7311651,-38.4326222,1939_BUSHFIRE,18,37.25,NA,140.01476,0.08,16.91,9.38,0.68,0.36,24,4.44,5.1,43,381,20.99,41.76,6.7,2.5,Forest,34.00000000000001,South Eastern Highlands,42
s402154,0,VicMicro,3_7_2022,145.5431645,-37.5153674,1939_BUSHFIRE,37,37.83,NA,722.24371,8.64,1.16,0.34,0.28,0.12,28,5.41,3.8,NA,153,26.92,35.25,5.1,2,Forest,89.00000000000001,South Eastern Highlands,65
s402156,0,VicMicro,3_7_2022,145.5931594,-37.5058399,2020_BURN,14,25.81,NA,712.06219,3.3,1.16,0.32,0.38,0.04,18,5.25,4.6,NA,153,50.62,23.57,7.1,2,Forest,84.00000000000001,South Eastern Highlands,32
